timestamp(ms),x,dx,theta,dtheta,
"1757540634.36","0","0.01",,,
"1757540634.361",,,"0.02",,
"1757540634.434","0",,,,
"1757540634.435",,"0.01",,,
"1757540634.436",,,"0",,
"1757540634.438",,,,,
"1757540634.535","0.01",,,,
"1757540634.536",,"0.01",,,
"1757540634.537",,,"-0.02",,
"1757540634.539",,,,,
"1757540634.636","0.01",,,,
"1757540634.637",,"0.01",,,
"1757540634.638",,,"-0.04",,
"1757540634.64",,,,,
"1757540634.737","0.01",,,,
"1757540634.738",,"0",,,
"1757540634.739",,,"-0.05",,
"1757540634.741",,,,,
"1757540634.838","0.01",,,,
"1757540634.839",,"0",,,
"1757540634.84",,,"-0.05",,
"1757540634.842",,,,,
"1757540634.939","0.01",,,,
"1757540634.94",,"-0.01",,,
"1757540634.941",,,"-0.04",,
"1757540634.943",,,,,
"1757540635.04","0.01",,,,
"1757540635.041",,"-0.01",,,
"1757540635.042",,,"-0.02",,
"1757540635.044",,,,,
"1757540635.141","0",,,,
"1757540635.142",,"-0.01",,,
"1757540635.143",,,"0",,
"1757540635.145",,,,,
"1757540635.242","0",,,,
"1757540635.243",,"-0.01",,,
"1757540635.244",,,"0.02",,
"1757540635.246",,,,,
"1757540635.344","0",,,,
"1757540635.345",,"-0.01",,,
"1757540635.346",,,"0.04",,
"1757540635.347",,,,,
"1757540635.444","0",,,,
"1757540635.445",,"0",,,
"1757540635.446",,,"0.05",,
"1757540635.448",,,,,
"1757540635.545","0",,,,
"1757540635.546",,"0",,,
"1757540635.547",,,"0.05",,
"1757540635.549",,,,,
"1757540635.646","0",,,,
"1757540635.647",,"0.01",,,
"1757540635.648",,,"0.04",,
"1757540635.65",,,,,
"1757540635.747","0",,,,
"1757540635.748",,"0.01",,,
"1757540635.749",,,"0.02",,
"1757540635.751",,,,,
"1757540635.848","0",,,,
"1757540635.849",,"0.01",,,
"1757540635.85",,,"0",,
"1757540635.852",,,,,
"1757540635.949","0",,,,
"1757540635.95",,"0.01",,,
"1757540635.951",,,"-0.02",,
"1757540635.953",,,,,
"1757540636.05","0.01",,,,
"1757540636.051",,"0.01",,,
"1757540636.052",,,"-0.03",,
"1757540636.054",,,,,
"1757540636.151","0.01",,,,
"1757540636.152",,"0",,,
"1757540636.153",,,"-0.04",,
"1757540636.155",,,,,
"1757540636.252","0.01",,,,
"1757540636.253",,"0",,,
"1757540636.254",,,"-0.04",,
"1757540636.256",,,,,
"1757540636.353","0.01",,,,
"1757540636.354",,"-0.01",,,
"1757540636.355",,,"-0.04",,
"1757540636.357",,,,,
"1757540636.454","0",,,,
"1757540636.455",,"-0.01",,,
"1757540636.456",,,"-0.02",,
"1757540636.458",,,,,
"1757540636.555","0",,,,
"1757540636.556",,"-0.01",,,
"1757540636.557",,,"0",,
"1757540636.559",,,,,
"1757540636.656","0",,,,
"1757540636.657",,"-0.01",,,
"1757540636.658",,,"0.01",,
"1757540636.66",,,,,
"1757540636.757","0",,,,
"1757540636.758",,"-0.01",,,
"1757540636.759",,,"0.03",,
"1757540636.761",,,,,
"1757540636.858","0",,,,
"1757540636.859",,"0",,,
"1757540636.86",,,"0.04",,
"1757540636.862",,,,,
"1757540636.959","0",,,,
"1757540636.96",,"0",,,
"1757540636.961",,,"0.04",,
"1757540636.964",,,,,
"1757540637.06","0",,,,
"1757540637.061",,"0",,,
"1757540637.062",,,"0.03",,
"1757540637.064",,,,,
"1757540637.161","0",,,,
"1757540637.162",,"0.01",,,
"1757540637.163",,,"0.02",,
"1757540637.165",,,,,
"1757540637.262","0",,,,
"1757540637.263",,"0.01",,,
"1757540637.264",,,"0",,
"1757540637.266",,,,,
"1757540637.363","0",,,,
"1757540637.364",,"0.01",,,
"1757540637.365",,,"-0.01",,
"1757540637.367",,,,,
"1757540637.464","0",,,,
"1757540637.465",,"0.01",,,
"1757540637.467",,,"-0.03",,
"1757540637.468",,,,,
"1757540637.565","0.01",,,,
"1757540637.566",,"0",,,
"1757540637.567",,,"-0.03",,
"1757540637.569",,,,,
"1757540637.666","0.01",,,,
"1757540637.667",,"0",,,
"1757540637.669",,,"-0.04",,
"1757540637.67",,,,,
"1757540637.768","0.01",,,,
"1757540637.769",,"0",,,
"1757540637.772",,,"-0.03",,
"1757540637.773",,,,,
"1757540637.868","0",,,,
"1757540637.869",,"-0.01",,,
"1757540637.871",,,"-0.02",,
"1757540637.872",,,,,
"1757540637.969","0",,,,
"1757540637.97",,"-0.01",,,
"1757540637.972",,,"-0.01",,
"1757540637.973",,,,,
"1757540638.07","0",,,,
"1757540638.071",,"-0.01",,,
"1757540638.072",,,"0.01",,
"1757540638.074",,,,,
"1757540638.171","0",,,,
"1757540638.172",,"-0.01",,,
"1757540638.173",,,"0.02",,
"1757540638.175",,,,,
"1757540638.272","0",,,,
"1757540638.273",,"0",,,
"1757540638.274",,,"0.03",,
"1757540638.276",,,,,
"1757540638.373","0",,,,
"1757540638.374",,"0",,,
"1757540638.375",,,"0.03",,
"1757540638.377",,,,,
"1757540638.475","0","0",,,
"1757540638.476",,,"0.03",,
"1757540638.478",,,,,
"1757540638.575","0",,,,
"1757540638.576",,"0.01",,,
"1757540638.577",,,"0.02",,
"1757540638.579",,,,,
"1757540638.677","0","0.01",,,
"1757540638.678",,,"0.01",,
"1757540638.68",,,,,
"1757540638.777","0",,,,
"1757540638.778",,"0.01",,,
"1757540638.779",,,"-0.01",,
"1757540638.781",,,,,
"1757540638.878","0",,,,
"1757540638.879",,"0.01",,,
"1757540638.881",,,"-0.02",,
"1757540638.882",,,,,
"1757540638.979","0",,,,
"1757540638.98",,"0",,,
"1757540638.982",,,"-0.03",,
"1757540638.983",,,,,
"1757540639.08","0",,,,
"1757540639.081",,"0",,,
"1757540639.083",,,"-0.03",,
