timestamp(ms),x,dx,theta,dtheta,
"1757557941.29","0.0023","-0.0196","0.0384","0.4262",
"1757557941.338","0.0006","-0.0137",,,
"1757557941.34",,,"0.0755",,
"1757557941.341",,,,"0.3007",
"1757557941.439","-0.0004",,,,
"1757557941.442",,"-0.005","0.0964",,
"1757557941.443",,,,"0.1116",
"1757557941.54","-0.0004",,,,
"1757557941.541",,"0.0046",,,
"1757557941.543",,,"0.097",,
"1757557941.545",,,,"-0.101",
"1757557941.64","0.0005",,,,
"1757557941.641",,"0.0132",,,
"1757557941.643",,,"0.077",,
"1757557941.644",,,,"-0.292",
"1757557941.741","0.0022",,,,
"1757557941.742",,"0.0189",,,
"1757557941.744",,,"0.0407",,
"1757557941.745",,,,"-0.4209",
"1757557941.842","0.0042",,,,
"1757557941.843",,"0.0206",,,
"1757557941.845",,,"-0.0042",,
"1757557941.846",,,,"-0.4606",
"1757557941.944","0.0061",,,,
"1757557941.945",,"0.0177",,,
"1757557941.946",,,"-0.0482",,
"1757557941.948",,,,"-0.4026",
"1757557942.044","0.0076",,,,
"1757557942.045",,"0.0111",,,
"1757557942.047",,,"-0.0819",,
"1757557942.048",,,,"-0.2594",
"1757557942.145","0.0083",,,,
"1757557942.146",,"0.002",,,
"1757557942.148",,,"-0.0982",,
"1757557942.149",,,,"-0.0614",
"1757557942.246","0.008",,,,
"1757557942.247",,"-0.0075",,,
"1757557942.25",,,"-0.0937",,
"1757557942.251",,,,"0.1495",
"1757557942.348","0.0068","-0.0156",,,
"1757557942.35",,,"-0.0694",,
"1757557942.351",,,,"0.3285",
"1757557942.448","0.005",,,,
"1757557942.449",,"-0.0203",,,
"1757557942.451",,,"-0.0304",,
"1757557942.452",,,,"0.4377",
"1757557942.55","0.0029","-0.0209",,,
"1757557942.552",,,"0.0151",,
"1757557942.553",,,,"0.4541",
"1757557942.65","0.0009",,,,
"1757557942.651",,"-0.0171",,,
"1757557942.653",,,"0.0572",,
"1757557942.654",,,,"0.3743",
"1757557942.751","-0.0004",,,,
"1757557942.753",,"-0.0097",,,
"1757557942.754",,,"0.0872",,
"1757557942.755",,,,"0.2152",
"1757557942.853","-0.0009",,,,
"1757557942.854",,"-0.0004",,,
"1757557942.855",,,"0.0988",,
"1757557942.856",,,,"0.0107",
"1757557942.954","-0.0005",,,,
"1757557942.955",,"0.0089",,,
"1757557942.956",,,"0.0893",,
"1757557942.957",,,,"-0.1959",
"1757557943.054","0.0008",,,,
"1757557943.055",,"0.0163",,,
"1757557943.057",,,"0.061",,
"1757557943.058",,,,"-0.3608",
"1757557943.155","0.0026",,,,
"1757557943.157",,"0.0202",,,
"1757557943.158",,,"0.0197",,
"1757557943.159",,,,"-0.4491",
"1757557943.256","0.0047",,,,
"1757557943.258",,"0.0197",,,
"1757557943.259",,,"-0.0256",,
"1757557943.26",,,,"-0.4422",
"1757557943.357","0.0064",,,,
"1757557943.358",,"0.0149",,,
"1757557943.359",,,"-0.0656",,
"1757557943.361",,,,"-0.3416",
"1757557943.458","0.0076",,,,
"1757557943.46",,"0.007",,,
"1757557943.461",,,"-0.0915","-0.1688",
"1757557943.559","0.0078",,,,
"1757557943.56",,"-0.0025",,,
"1757557943.561",,,"-0.0981",,
"1757557943.562",,,,"0.0397",
"1757557943.66","0.0071",,,,
"1757557943.662",,"-0.0115","-0.0839",,
"1757557943.663",,,,"0.2396",
"1757557943.761","0.0056",,,,
"1757557943.763",,"-0.0182",,,
"1757557943.764",,,"-0.0519",,
"1757557943.765",,,,"0.3885",
"1757557943.862","0.0036",,,,
"1757557943.863",,"-0.021",,,
"1757557943.865",,,"-0.009","0.455",
"1757557943.963","0.0015",,,,
"1757557943.965",,"-0.0195","0.0358",,
"1757557943.966",,,,"0.425",
"1757557944.064","-0.0002",,,,
"1757557944.065",,"-0.0138",,,
"1757557944.067",,,"0.073",,
"1757557944.068",,,,"0.305",
"1757557944.166","-0.0012",,,,
"1757557944.167",,"-0.0054",,,
"1757557944.168",,,"0.0947","0.1205",
"1757557944.267","-0.0012","0.0042",,,
"1757557944.268",,,"0.0963",,
"1757557944.269",,,,"-0.0893",
"1757557944.368","-0.0004",,,,
"1757557944.369",,"0.0128","0.0775",,
"1757557944.37",,,,"-0.2801",
"1757557944.468","0.0012",,,,
"1757557944.469",,"0.0186",,,
"1757557944.471",,,"0.0423","-0.4113",
"1757557944.569","0.0032",,,,
"1757557944.57",,"0.0204",,,
"1757557944.571",,,"-0.0019",,
"1757557944.573",,,,"-0.4553",
"1757557944.671","0.0052",,,,
"1757557944.672",,"0.0178",,,
"1757557944.673",,,"-0.0456",,
"1757557944.674",,,,"-0.4028",
"1757557944.772","0.0067","0.0114",,,
"1757557944.773",,,"-0.0796",,
"1757557944.774",,,,"-0.2649",
"1757557944.872","0.0074",,,,
"1757557944.873",,"0.0026",,,
"1757557944.874",,,"-0.0967",,
"1757557944.875",,,,"-0.0711",
